item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,image_url,date_added,read_next
book,Batman: Ego and Other Tails,Darwyn Cooke,Darwyn,Cooke,9781401213596,1401213596,"Written by Darwyn Cooke and Paul Grist Art by Darwyn Cooke, Tim Sale and Bill Wray Cover by Darwyn Cooke  The volume collecting Darwyn Cooke&#039;s greatest Batman stories is now available in trade paperback! Includes the complete epics BATMAN: EGO and CATWOMAN: SELINA&#039;S BIG SCORE, plus tales from BATMAN: GOTHAM KNIGHTS #23 and 33 and SOLO #1 and 5.  Advance-solicited; on sale November 12 - 200 pg, FC, $17.99 US",DC Comics,2008-11-18,Middle Case,,,,200.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/71Y4yoB3k9L._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Tremor Dose,"Michael Conrad, Noah Bailey",Michael,Conrad,9781506724607,1506724604,"Everyone dreams, but are these dreams our own? Who controls our thoughts when we're sleeping? Ginn, is a young college student who has been having wildly disturbing nightmares featuring a man she has never met. When she finds a flyer with his picture and the question, 'Have you dreamed this man?' she submits to an interview that begins to unravel her perceptions of reality.",Dark Horse Comics,2021-11-30,Middle Case,,,,144.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781506724607-L.jpg,2025-09-28,False
book,Road to Metal,"Scott Snyder, Jim Lee, Andy Kubert, John Romita",Scott,Snyder,9781401287627,140128762X,"The unforgettable team of Scott Snyder, James Tynion IV, Jim Lee, John Romita Jr. and Andy Kubert combine forces to set the stage for the epic event Dark Nights: Metal with Dark Days: The Road to Metal, now in paperback! For years, Batman has been tracking a mystery. He's quietly been pulling a thread, conducting research in secret laboratories across the globe and stowing evidence deep in the Batcave, hidden even from his closest allies. Now, in an epic story spanning generations, the heroes and villains of the DC Universe, including Green Lantern, The Joker, Wonder Woman and more, are about to find out what he's discovered--and it could threaten the very existence of the Multiverse! This trade paperback edition collects Dark Days: The Forge #1 and Dark Days: The Casting #1, as well as classic DC stories that built the foundations of Metal, including Final Crisis #6-7, The Return of Bruce Wayne #1, Batman #38-39, Nightwing #17 and more!",DC Comics,2019-01-08,Middle Case,,,,304.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781401287627-L.jpg,2025-09-28,False
book,"Uncanny X-Force, Vol. 1: The Apocalypse Solution",Rick Remender,Rick,Remender,9780785148555,785148558,"The X-Men do not kill. But when Apocalypse - the mutant despot who has countless times brought humanity to the brink of destruction - returns, Wolverine knows there's only one solution: the recently reconstituted X-Force! The new team - consisting of Deadpool, Archangel, Psylocke and Fantomex - must destroy En Sabah Nur. But can Wolverine's secret team survive Apocalypse's deadly Final Horsemen? And even if they do, can they kill the reborn Apocalypse when the greatest threat the world has ever faced is now no more than an innocent child? Collecting UNCANNY X-FORCE #1-4, and material from WOLVERINE: ROAD TO HELL and ALL-NEW WOLVERINE SAGA.",Marvel,2011-10-05,Middle Case,,,,120.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780785148555-L.jpg,2025-09-28,False
book,God Country,Donny Cates,Donny,Cates,9781534302341,1534302344,"SOUTHERN BASTARDS meets American Gods in a high-stakes fantasy series that masterfully blends high-octane action and jaw-dropping worldbuilding.In GOD COUNTRY, readers meet Emmett Quinlan, an old widower rattled by dementia. Emmett isn't just a problem for his children—his violent outbursts are more than the local cops can handle. When a tornado levels his home—as well as the surrounding West Texas town—a restored Quinlan rises from the wreckage. An enchanted sword at the eye of the storm gives him more than a sound mind and body, however. He's now the only man who can face these otherworldly creatures the sword has drawn down to the Lone Star State... In GOD COUNTRY salvation is a double-edged sword.",Image Comics,2017-08-08,Middle Case,,,,168.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781534302341-L.jpg,2025-09-28,False
book,Justice,"Jim Krueger, Alex Ross",Jim,Krueger,9781401235260,1401235263,"After the villains of the Legion of Doom — led by Lex Luthor and Brainiac — band together to save the world after a shared dream that seems to be a vision of the Earth’s demise. They are confronted by the Justice League of America, who doubt their true motives. The true plans unfold as the two teams do battle.From the Hardcover edition.",DC Comics,2012-06-19,Middle Case,,,,384.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81DFRAzi3zL._UF1000,1000_QL80_.jpg",2025-09-28,False
book,Kill or Be Killed Volume 1,"Ed Brubaker, Sean Phillips, Elizabeth Breitweiser",Ed,Brubaker,9781534300286,1534300287,"The bestselling team of ED BRUBAKER and SEAN PHILLIPS (THE FADE OUT,CRIMINAL, FATALE) return with KILL OR BE KILLED, the twisted story of a youngman forced to kill bad people, and how he struggles to keep his secret fromdestroying his life. Both a thriller and a deconstruction ofvigilantism, KILL OR BE KILLED is unlike anything BRUBAKER &amp; PHILLIPS haveever done. Collects issues 1 - 4.",Image Comics,2017-01-24,Middle Case,,,,128.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781534300286-L.jpg,2025-09-28,False
book,Miskatonic,"Mark Sable, Giorgio Pontrelli",Mark,by),9781949028652,1949028658,"Miskatonic Valley holds many mysteries - cultists worshipping old gods, a doctor deadset on resurrecting the recently deceased, a house overrun by rats in the walls - but none more recent than a series of bombings targeting the Valley's elite. To Bureau of Investigation (the predecessor of the FBI) chief J. Edgar Hoover, there can be no other explanation than those responsible for similar actions during the Red Scare of the 1920s. But when the brilliant, hard-nosed investigator Miranda Keller is sent to stop the bombings, she uncovers an unimaginable occult conspiracy, one that may cost her both her job and her sanity. From writer Mark Sable (WAR ON TERROR: GODKILLERS, Graveyard of Empires) and artist Giorgio Pontrelli (Dylan Dog), MISKATONIC is a mix of historical crime fiction and Lovecraftian-horror that dives deep into the American nightmare.",AfterShock Comics,2021-07-20,Middle Case,,,,120.0,,,,,,,,,,,,,2025-09-23,1.0,https://aftershockcomics.com/cdn/shop/products/900107._SX1280_QL80_TTD.jpg?v=1632095308,2025-09-28,False
book,Cyberpunk 2077: XOXO,"Bartosz Sztybor, Jakub Rebelka",Bartosz,Sztybor,9781506726830,1506726836,"It's gang on gang violence as the Maelstroms plan an ambush on the Moxes. The target: corpo cargo worth a heavy sum of cash. But loyalty only goes as far to one's deepest desires, and one member of the Maelstroms has found something worth sacrificing for. Jaw dropping, eyes popping, pulse racing - he's never known anyone like her... Created in close collaboration with CD Projekt Red, writer Bartosz Sztybor (Cyberpunk 2077: Blackout, Cyberpunk 2077: Edgerunners) and artist Jakub Rebelka (Judas, Origins) ramp up an explosive love story like no other. Collects Cyberpunk 2077: XOXO #1-#4.",Dark Horse Comics,2024-07-16,Middle Case,,,,112.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781506726830-L.jpg,2025-09-28,False
book,Aquaman,"Kelly Sue DeConnick, Robson Rocha",Kelly,DeConnick,9781779501431,1779501439,"The tides turn for the Sea King as superstar scribe Kelly Sue DeConnick (Captain Marvel, Pretty Deadly) and red-hot artist Robson Rocha (Teen Titans, Supergirl) take the rudder to steer Aquaman into uncharted waters. In the wake of ""Drowned Earth,"" an amnesiac Arthur washes ashore on a remote island and ends up being cared for by a young woman named Callie, who's just a little too curious for comfort. And as a lifetime of horror movies has taught us, there's something strange going on in this island village. Aquaman needs to come to his senses quickly...or he might wind up sleeping with the fishes instead of chatting with them.",DC Comics,2019-12-24,Middle Case,,,,152.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781779501431-L.jpg,2025-09-28,False
